Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Profit,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit Ratio,Quantity,Sales
Office Supplies,Houston,United States,Matt Abelman,Easy-staple paper,19-10-2018,CA-2018-107727,77095,Easy-staple paper,$10.00,Central,Home Office,23-10-2018,Second Class,Texas,Paper,0.2,1,0.34,3,29
Technology,Richardson,United States,Gene Hale,GE,08-12-2017,CA-2017-117590,75080,GE 30524EE4,$123.00,Central,Corporate,10-12-2017,First Class,Texas,Phones,0.2,1,0.11,7,1098
Furniture,Richardson,United States,Gene Hale,Electrix,08-12-2017,CA-2017-117590,75080,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",-$148.00,Central,Corporate,10-12-2017,First Class,Texas,Furnishings,0.6,1,-0.78,5,191
Office Supplies,Houston,United States,Steve Nguyen,Other,27-12-2016,CA-2016-117415,77041,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",$35.00,Central,Home Office,31-12-2016,Standard Class,Texas,Envelopes,0.2,1,0.31,9,113
Furniture,Houston,United States,Steve Nguyen,Atlantic,27-12-2016,CA-2016-117415,77041,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",-$47.00,Central,Home Office,31-12-2016,Standard Class,Texas,Bookcases,0.32,1,-0.09,3,532
Furniture,Houston,United States,Steve Nguyen,Global,27-12-2016,CA-2016-117415,77041,"Global Fabric Manager's Chair, Dark Gray",-$15.00,Central,Home Office,31-12-2016,Standard Class,Texas,Chairs,0.3,1,-0.07,3,212
Technology,Houston,United States,Steve Nguyen,Plantronics,27-12-2016,CA-2016-117415,77041,Plantronics HL10 Handset Lifter,$42.00,Central,Home Office,31-12-2016,Standard Class,Texas,Phones,0.2,1,0.11,4,371
Technology,Naperville,United States,Linda Cazamias,Panasonic,10-09-2018,CA-2018-120999,60540,Panasonic Kx-TS550,$17.00,Central,Corporate,15-09-2018,Standard Class,Illinois,Phones,0.2,1,0.11,4,147
Office Supplies,Los Angeles,United States,Ruben Ausman,Eldon,17-07-2017,CA-2017-101343,90049,"Eldon Base for stackable storage shelf, platinum",$4.00,West,Corporate,22-07-2017,Standard Class,California,Storage,0,1,0.05,2,78
Office Supplies,Melbourne,United States,Erin Smith,Advantus,19-09-2018,CA-2018-139619,32935,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$10.00,South,Corporate,23-09-2018,Standard Class,Florida,Storage,0.2,1,0.1,2,96
Technology,Eagan,United States,Odella Nelson,Verbatim,11-03-2017,CA-2017-118255,55122,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$20.00,Central,Corporate,13-03-2017,First Class,Minnesota,Accessories,0,1,0.43,2,46
Office Supplies,Eagan,United States,Odella Nelson,Wilson Jones,11-03-2017,CA-2017-118255,55122,Wilson Jones Leather-Like Binders with DublLock Round Rings,$8.00,Central,Corporate,13-03-2017,First Class,Minnesota,Binders,0,1,0.47,2,17
Office Supplies,Westland,United States,Patrick O'Donnell,Gould Plastics,20-10-2015,CA-2015-146703,48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$8.00,Central,Consumer,25-10-2015,Second Class,Michigan,Storage,0,1,0.04,4,212
Technology,Dover,United States,Lena Hernandez,Imation,20-06-2017,CA-2017-169194,19901,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$5.00,East,Consumer,25-06-2017,Standard Class,Delaware,Accessories,0,1,0.11,3,45
Technology,Dover,United States,Lena Hernandez,Other,20-06-2017,CA-2017-169194,19901,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$6.00,East,Consumer,25-06-2017,Standard Class,Delaware,Phones,0,1,0.28,2,22
Office Supplies,New Albany,United States,Darren Powers,C-Line,18-04-2016,CA-2016-115742,47150,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$18.00,Central,Consumer,22-04-2016,Standard Class,Indiana,Binders,0,1,0.47,6,38
Office Supplies,New Albany,United States,Darren Powers,Avery,18-04-2016,CA-2016-115742,47150,Avery 485,$35.00,Central,Consumer,22-04-2016,Standard Class,Indiana,Labels,0,1,0.47,6,75
Furniture,New Albany,United States,Darren Powers,Other,18-04-2016,CA-2016-115742,47150,Longer-Life Soft White Bulbs,$3.00,Central,Consumer,22-04-2016,Standard Class,Indiana,Furnishings,0,1,0.48,2,6
Furniture,New Albany,United States,Darren Powers,Global,18-04-2016,CA-2016-115742,47150,"Global Leather Task Chair, Black",$17.00,Central,Consumer,22-04-2016,Standard Class,Indiana,Chairs,0,1,0.19,1,90
Office Supplies,New York City,United States,Janet Molinari,Advantus,11-12-2017,CA-2017-105816,10024,Advantus Push Pins,$6.00,East,Corporate,17-12-2017,Standard Class,New York,Fasteners,0,1,0.41,7,15
Technology,New York City,United States,Janet Molinari,AT&T,11-12-2017,CA-2017-105816,10024,AT&T CL83451 4-Handset Telephone,$299.00,East,Corporate,17-12-2017,Standard Class,New York,Phones,0,1,0.29,5,1030
Office Supplies,Troy,United States,Ted Butterfield,Other,17-06-2017,CA-2017-111682,12180,Home/Office Personal File Carts,$52.00,East,Consumer,18-06-2017,First Class,New York,Storage,0,1,0.25,6,209
Office Supplies,Troy,United States,Ted Butterfield,Xerox,17-06-2017,CA-2017-111682,12180,Xerox 232,$16.00,East,Consumer,18-06-2017,First Class,New York,Paper,0,1,0.48,5,32
Furniture,Troy,United States,Ted Butterfield,Novimex,17-06-2017,CA-2017-111682,12180,Novimex Turbo Task Chair,$7.00,East,Consumer,18-06-2017,First Class,New York,Chairs,0.1,1,0.02,5,319
Office Supplies,Troy,United States,Ted Butterfield,Array,17-06-2017,CA-2017-111682,12180,"Array Parchment Paper, Assorted Colors",$7.00,East,Consumer,18-06-2017,First Class,New York,Paper,0,1,0.48,2,15
Technology,Troy,United States,Ted Butterfield,Imation,17-06-2017,CA-2017-111682,12180,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$3.00,East,Consumer,18-06-2017,First Class,New York,Accessories,0,1,0.11,2,30
Office Supplies,Troy,United States,Ted Butterfield,Other,17-06-2017,CA-2017-111682,12180,Plastic Binding Combs,$16.00,East,Consumer,18-06-2017,First Class,New York,Binders,0.2,1,0.34,4,48
Office Supplies,Troy,United States,Ted Butterfield,Prang,17-06-2017,CA-2017-111682,12180,Prang Dustless Chalk Sticks,$1.00,East,Consumer,18-06-2017,First Class,New York,Art,0,1,0.5,1,2
Technology,Los Angeles,United States,Kunst Miller,Verbatim,24-11-2016,CA-2016-135545,90004,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$6.00,West,Consumer,30-11-2016,Standard Class,California,Accessories,0,1,0.44,2,14
Office Supplies,Los Angeles,United States,Kunst Miller,Acco,24-11-2016,CA-2016-135545,90004,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$9.00,West,Consumer,30-11-2016,Standard Class,California,Binders,0.2,1,0.36,6,26
Office Supplies,Los Angeles,United States,Kunst Miller,Xerox,24-11-2016,CA-2016-135545,90004,Xerox 1943,$69.00,West,Consumer,30-11-2016,Standard Class,California,Paper,0,1,0.47,3,147
Furniture,Los Angeles,United States,Kunst Miller,Luxo,24-11-2016,CA-2016-135545,90004,Luxo Economy Swing Arm Lamp,$22.00,West,Consumer,30-11-2016,Standard Class,California,Furnishings,0,1,0.28,4,80
Furniture,Chicago,United States,Paul Stevenson,Global,30-04-2016,US-2016-164175,60610,"Global Value Mid-Back Manager's Chair, Gray",-$15.00,Central,Home Office,05-05-2016,Standard Class,Illinois,Chairs,0.3,1,-0.07,5,213
Office Supplies,Gilbert,United States,Brendan Sweed,Hunt,05-12-2015,CA-2015-106376,85234,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",$111.00,West,Corporate,10-12-2015,Standard Class,Arizona,Art,0.2,1,0.1,8,1113
Technology,Gilbert,United States,Brendan Sweed,Other,05-12-2015,CA-2015-106376,85234,netTALK DUO VoIP Telephone Service,$63.00,West,Corporate,10-12-2015,Standard Class,Arizona,Phones,0.2,1,0.38,4,168
Office Supplies,Springfield,United States,Karen Daniels,Other,04-06-2017,CA-2017-119823,22153,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$36.00,South,Consumer,06-06-2017,First Class,Virginia,Paper,0,1,0.47,2,76
Office Supplies,New York City,United States,Henry MacAllister,Avery,18-09-2017,CA-2017-106075,10009,Avery Binding System Hidden Tab Executive Style Index Sets,$2.00,East,Consumer,23-09-2017,Standard Class,New York,Binders,0.2,1,0.38,1,5
Office Supplies,Jackson,United States,Tracy Blumstein,Other,14-09-2018,CA-2018-114440,49201,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$9.00,Central,Consumer,17-09-2018,Second Class,Michigan,Paper,0,1,0.46,3,19
Furniture,Memphis,United States,Joel Eaton,Other,26-04-2016,US-2016-134026,38109,High-Back Leather Manager's Chair,-$114.00,South,Consumer,02-05-2016,Standard Class,Tennessee,Chairs,0.2,1,-0.14,8,832
Furniture,Memphis,United States,Joel Eaton,Tenex,26-04-2016,US-2016-134026,38109,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",$1.00,South,Consumer,02-05-2016,Standard Class,Tennessee,Furnishings,0.2,1,0.01,2,97
Office Supplies,Memphis,United States,Joel Eaton,SAFCO,26-04-2016,US-2016-134026,38109,Safco Industrial Wire Shelving System,-$18.00,South,Consumer,02-05-2016,Standard Class,Tennessee,Storage,0.2,1,-0.25,1,73
Office Supplies,Houston,United States,Ken Brennan,Other,09-12-2018,US-2018-118038,77041,Economy Binders,-$2.00,Central,Corporate,11-12-2018,First Class,Texas,Binders,0.8,1,-1.55,3,1
Furniture,Houston,United States,Ken Brennan,Other,09-12-2018,US-2018-118038,77041,"6"" Cubicle Wall Clock, Black",-$6.00,Central,Corporate,11-12-2018,First Class,Texas,Furnishings,0.6,1,-0.6,3,10
Office Supplies,Houston,United States,Ken Brennan,Other,09-12-2018,US-2018-118038,77041,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",$3.00,Central,Corporate,11-12-2018,First Class,Texas,Storage,0.2,1,0.1,3,27
Furniture,Houston,United States,Joel Eaton,Eldon,26-11-2015,US-2015-147606,77070,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",-$14.00,Central,Consumer,01-12-2015,Second Class,Texas,Furnishings,0.6,1,-0.75,5,19
Office Supplies,Decatur,United States,Stewart Carmichael,Other,12-06-2017,CA-2017-127208,35601,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",$56.00,South,Corporate,15-06-2017,First Class,Alabama,Appliances,0,1,0.27,1,208
Office Supplies,Decatur,United States,Stewart Carmichael,Avery,12-06-2017,CA-2017-127208,35601,Avery Heavy-Duty EZD  Binder With Locking Rings,$8.00,South,Corporate,15-06-2017,First Class,Alabama,Binders,0,1,0.48,3,17
Office Supplies,San Francisco,United States,Duane Noonan,Other,12-10-2015,CA-2015-139451,94122,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$4.00,West,Consumer,16-10-2015,Standard Class,California,Art,0,1,0.28,5,15
Office Supplies,San Francisco,United States,Duane Noonan,Other,12-10-2015,CA-2015-139451,94122,"Sortfiler Multipurpose Personal File Organizer, Black",$6.00,West,Consumer,16-10-2015,Standard Class,California,Storage,0,1,0.29,1,21
Office Supplies,Durham,United States,Julie Creighton,Other,03-09-2016,CA-2016-149734,27707,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$63.00,South,Corporate,08-09-2016,Standard Class,North Carolina,Envelopes,0.2,1,0.31,7,201
Office Supplies,Chicago,United States,Christopher Schild,SAFCO,13-11-2018,US-2018-119662,60623,Safco Industrial Wire Shelving,-$49.00,Central,Home Office,16-11-2018,First Class,Illinois,Storage,0.2,1,-0.21,3,230
Furniture,Columbia,United States,Patrick O'Donnell,Novimex,28-05-2018,CA-2018-140088,29203,Novimex Swivel Fabric Task Chair,$33.00,South,Consumer,30-05-2018,Second Class,South Carolina,Chairs,0,1,0.11,2,302
Technology,Rochester,United States,Paul Gonzalez,Logitech,26-10-2018,CA-2018-155558,55901,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$7.00,Central,Consumer,02-11-2018,Standard Class,Minnesota,Accessories,0,1,0.34,1,20
Office Supplies,Rochester,United States,Paul Gonzalez,Avery,26-10-2018,CA-2018-155558,55901,Avery 511,$3.00,Central,Consumer,02-11-2018,Standard Class,Minnesota,Labels,0,1,0.48,2,6
Office Supplies,Houston,United States,Gary Mitchum,Eldon,05-04-2017,CA-2017-159695,77095,Eldon Portable Mobile Manager,$14.00,Central,Home Office,10-04-2017,Second Class,Texas,Storage,0.2,1,0.09,7,158
Office Supplies,Los Angeles,United States,Jim Sink,Other,17-09-2017,CA-2017-109806,90036,Turquoise Lead Holder with Pocket Clip,$7.00,West,Corporate,22-09-2017,Standard Class,California,Art,0,1,0.33,3,20
Technology,Los Angeles,United States,Jim Sink,Panasonic,17-09-2017,CA-2017-109806,90036,Panasonic Kx-TS550,$8.00,West,Corporate,22-09-2017,Standard Class,California,Phones,0.2,1,0.11,2,74
Office Supplies,Los Angeles,United States,Jim Sink,Xerox,17-09-2017,CA-2017-109806,90036,Xerox 1995,$3.00,West,Corporate,22-09-2017,Standard Class,California,Paper,0,1,0.48,1,6
Office Supplies,Minneapolis,United States,Karl Braun,Xerox,31-01-2016,CA-2016-149587,55407,Xerox 1999,$6.00,Central,Consumer,05-02-2016,Second Class,Minnesota,Paper,0,1,0.48,2,13
Furniture,Minneapolis,United States,Karl Braun,Seth Thomas,31-01-2016,CA-2016-149587,55407,"Seth Thomas 13 1/2"" Wall Clock",$17.00,Central,Consumer,05-02-2016,Second Class,Minnesota,Furnishings,0,1,0.31,3,53
Office Supplies,Minneapolis,United States,Karl Braun,Ibico,31-01-2016,CA-2016-149587,55407,Ibico Standard Transparent Covers,$16.00,Central,Consumer,05-02-2016,Second Class,Minnesota,Binders,0,1,0.49,2,33
Office Supplies,Portland,United States,Roger Barcio,Other,06-11-2018,US-2018-109484,97206,Flexible Leather- Look Classic Collection Ring Binder,-$4.00,West,Home Office,12-11-2018,Standard Class,Oregon,Binders,0.7,1,-0.67,1,6
Furniture,New York City,United States,Parhena Norris,Other,09-11-2018,CA-2018-161018,10009,9-3/4 Diameter Round Wall Clock,$41.00,East,Home Office,11-11-2018,Second Class,New York,Furnishings,0,1,0.42,7,97
Office Supplies,San Francisco,United States,Katherine Ducich,Other,17-06-2018,CA-2018-157833,94122,Trimflex Flexible Post Binders,$18.00,West,Consumer,20-06-2018,First Class,California,Binders,0.2,1,0.35,3,51
Office Supplies,Saint Paul,United States,Elpida Rittenbach,Fellowes,06-09-2017,CA-2017-149223,55106,Fellowes Basic Home/Office Series Surge Protectors,$23.00,Central,Corporate,11-09-2017,Standard Class,Minnesota,Appliances,0,1,0.29,6,78
Office Supplies,Chicago,United States,Rick Bensley,Avery,29-08-2017,CA-2017-158568,60610,Avery Personal Creations Heavyweight Cards,$23.00,Central,Home Office,02-09-2017,Standard Class,Illinois,Paper,0.2,1,0.35,7,65
Technology,Chicago,United States,Rick Bensley,SanDisk,29-08-2017,CA-2017-158568,60610,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,-$11.00,Central,Home Office,02-09-2017,Standard Class,Illinois,Accessories,0.2,1,-0.11,3,96
Office Supplies,Chicago,United States,Rick Bensley,Avery,29-08-2017,CA-2017-158568,60610,Avery Hidden Tab Dividers for Binding Systems,-$3.00,Central,Home Office,02-09-2017,Standard Class,Illinois,Binders,0.8,1,-1.7,3,2
Office Supplies,Rochester,United States,Gary Zandusky,Universal,01-12-2017,CA-2017-129903,55901,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),$12.00,Central,Consumer,04-12-2017,Second Class,Minnesota,Paper,0,1,0.49,4,24
Technology,Aurora,United States,Lena Cacioppo,Logitech,13-11-2016,US-2016-156867,80013,Logitech K350 2.4Ghz Wireless Keyboard,-$27.00,West,Consumer,17-11-2016,Standard Class,Colorado,Accessories,0.2,1,-0.11,6,239
Furniture,Aurora,United States,Lena Cacioppo,Deflect-o,13-11-2016,US-2016-156867,80013,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",-$4.00,West,Consumer,17-11-2016,Standard Class,Colorado,Furnishings,0.2,1,-0.04,3,102
Office Supplies,Aurora,United States,Lena Cacioppo,Avery,13-11-2016,US-2016-156867,80013,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-$26.00,West,Consumer,17-11-2016,Standard Class,Colorado,Binders,0.7,1,-0.7,3,37
Technology,Charlotte,United States,Janet Martin,Memorex,23-11-2018,CA-2018-119004,28205,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,$18.00,South,Consumer,28-11-2018,Standard Class,North Carolina,Accessories,0.2,1,0.24,8,74
Technology,Charlotte,United States,Janet Martin,Other,23-11-2018,CA-2018-119004,28205,Speck Products Candyshell Flip Case,$2.00,South,Consumer,28-11-2018,Standard Class,North Carolina,Phones,0.2,1,0.08,1,28
Office Supplies,Charlotte,United States,Janet Martin,Newell,23-11-2018,CA-2018-119004,28205,Newell Chalk Holder,$1.00,South,Consumer,28-11-2018,Standard Class,North Carolina,Art,0.2,1,0.33,1,3
Technology,Orland Park,United States,Pete Armstrong,Logitech,15-10-2016,CA-2016-129476,60462,Logitech Gaming G510s - Keyboard,$68.00,Central,Home Office,20-10-2016,Standard Class,Illinois,Accessories,0.2,1,0.2,5,340
Furniture,New York City,United States,Cynthia Voltz,Other,25-12-2018,CA-2018-146780,10035,Magnifier Swing Arm Lamp,$11.00,East,Corporate,30-12-2018,Standard Class,New York,Furnishings,0,1,0.26,2,42
Office Supplies,Urbandale,United States,Clay Ludtke,Hunt,03-11-2017,CA-2017-128867,50322,"Hunt PowerHouse Electric Pencil Sharpener, Blue",$23.00,Central,Consumer,10-11-2017,Standard Class,Iowa,Art,0,1,0.3,2,76
Office Supplies,Urbandale,United States,Clay Ludtke,Avery,03-11-2017,CA-2017-128867,50322,"Avery Durable Plastic 1"" Binders",$13.00,Central,Consumer,10-11-2017,Standard Class,Iowa,Binders,0,1,0.49,6,27
Office Supplies,Columbus,United States,Ryan Crowe,Other,25-08-2015,CA-2015-115259,43229,"OIC Colored Binder Clips, Assorted Sizes",$15.00,East,Consumer,27-08-2015,Second Class,Ohio,Fasteners,0.2,1,0.36,14,40
Office Supplies,Columbus,United States,Ryan Crowe,Other,25-08-2015,CA-2015-115259,43229,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",$2.00,East,Consumer,27-08-2015,Second Class,Ohio,Envelopes,0.2,1,0.35,2,5
Office Supplies,Columbus,United States,Ryan Crowe,Xerox,25-08-2015,CA-2015-115259,43229,Xerox 1921,$7.00,East,Consumer,27-08-2015,Second Class,Ohio,Paper,0.2,1,0.31,3,24
Office Supplies,Columbus,United States,Ryan Crowe,Tyvek,25-08-2015,CA-2015-115259,43229,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",$44.00,East,Consumer,27-08-2015,Second Class,Ohio,Envelopes,0.2,1,0.34,6,130
